,tmd,delta_md,delta_ns,delta_ew,delta_tvd,inclination,azimuth,delta_tmd,inclination_prev,azimuth_prev,calc_azi,calc_inc
81,1523.53,19.24,-5.82423,-1.3323200000000002,18.287923000000003,0.3159045946109737,3.336196865187161,19.24000000000001,0.3159045946109737,3.396759790231364,0.6113877163248169,2.8256853111955853
82,1542.76,19.23,-6.25186,-0.8904200000000001,18.157010999999997,0.3543018381548489,3.235491367347088,19.230000000000018,0.3159045946109737,3.336196865187161,1.9630496256860934,2.7872933903983723
83,1562.04,19.28,-6.26494,-0.51471,18.221318,0.3101450080793923,3.2100095602679706,19.279999999999973,0.3543018381548489,3.235491367347088,4.718836535725932,2.831445158330442
84,1581.92,19.88,-5.59553,-0.37351999999999996,19.066609,0.2619739207243489,3.2061698359135833,19.88000000000011,0.3101450080793923,3.2100095602679706,4.7067330550046815,2.879621099708673
85,1601.2,19.28,-4.81095,-0.47225,18.662701000000002,0.2452187599052033,3.2749358084421596,19.279999999999973,0.2619739207243489,3.2061698359135833,5.368108522739196,2.896371515767502
86,1620.33,19.13,-4.50009,-0.6695399999999999,18.580742,0.2350958502436362,3.3042573398756647,19.12999999999988,0.2452187599052033,3.2749358084421596,2.3459236892302946,2.9064993788170916
87,1639.57,19.24,-4.50287,-0.5336,18.696883,0.24120450262561635,3.2159436797247514,19.24000000000001,0.2350958502436362,3.3042573398756647,1.9016830708279873,2.9003856764229714
88,1658.8,19.23,-4.99517,-0.21074,18.563297,0.28518679977587347,3.156427952231745,19.230000000000018,0.24120450262561635,3.2159436797247514,1.7146599624375083,2.856407989714799
89,1678.05,19.25,-5.31118,-0.55806,18.487918,0.2794272132442922,3.3379421944391554,19.25,0.28518679977587347,3.156427952231745,0.616866744021028,2.862163474101414
90,1697.21,19.16,-4.98373,-1.5551700000000002,18.426474,0.27576202181510406,3.5515704948832614,19.160000000000082,0.2794272132442922,3.3379421944391554,1.2879722967557412,2.8658323434174546
