tmd,delta_md,delta_ns,delta_ew,delta_tvd,inclination,azimuth
3045.160000,18.960000,12.234950,-14.480700,-0.311045,90.870000,310.250000
3064.110000,18.950000,12.238060,-14.466400,-0.226550,90.500000,310.210000
3082.940000,18.830000,12.129840,-14.402100,-0.060798,89.870000,310.000000
3101.900000,18.960000,12.195870,-14.516500,0.104237,89.500000,310.070000
3120.870000,18.970000,12.239000,-14.493200,0.104292,89.870000,310.290000
3139.820000,18.950000,12.227140,-14.476600,0.137254,89.300000,310.080000
3158.800000,18.980000,12.284330,-14.467300,0.115939,90.000000,310.590000
3177.740000,18.940000,12.375690,-14.337400,0.021487,89.870000,311.010000
3196.680000,18.940000,12.374280,-14.338300,0.087599,89.600000,310.580000
3215.640000,18.960000,12.263450,-14.458000,-0.072797,90.840000,310.030000
3234.610000,18.970000,12.182210,-14.538800,-0.278105,90.840000,309.890000
3253.580000,18.970000,12.140900,-14.574600,-0.172161,90.200000,309.700000
3272.530000,18.950000,12.062150,-14.614400,-0.138908,90.640000,309.370000
3291.480000,18.950000,11.988070,-14.675300,-0.127333,90.130000,309.120000
3310.700000,19.220000,12.133080,-14.905800,0.057026,89.530000,309.170000
3329.800000,19.100000,12.036520,-14.826800,0.285004,88.760000,308.970000
3349.090000,19.290000,12.148350,-14.980600,0.299622,89.460000,309.110000
3368.210000,19.120000,12.029420,-14.855100,0.387051,88.220000,308.890000
3387.260000,19.050000,11.945450,-14.833300,0.357374,89.630000,308.800000
3406.320000,19.060000,11.958480,-14.841500,0.073185,89.930000,308.920000
3425.520000,19.200000,12.065970,-14.932200,-0.190994,91.210000,308.960000
3444.460000,18.940000,11.885050,-14.742500,-0.355336,90.940000,308.790000
3463.630000,19.170000,11.993900,-14.952100,-0.257617,90.600000,308.680000
3482.910000,19.280000,12.100070,-15.009200,-0.158153,90.340000,309.070000
3502.120000,19.210000,12.076030,-14.939300,-0.095554,90.230000,308.830000
3521.210000,19.090000,11.939670,-14.895200,-0.004998,89.800000,308.600000
3540.430000,19.220000,11.985240,-15.024400,0.150951,89.300000,308.560000
3559.740000,19.310000,12.170740,-14.989400,0.180304,89.630000,309.590000
3578.960000,19.220000,12.258140,-14.801800,0.214683,89.090000,309.670000
3598.060000,19.100000,12.276190,-14.630200,0.101668,90.300000,310.330000
3617.110000,19.050000,12.303430,-14.543700,-0.009974,89.760000,310.130000
3636.200000,19.090000,12.427800,-14.489500,0.011661,90.170000,311.110000
3655.430000,19.230000,12.631140,-14.499800,0.005034,89.800000,311.010000
3674.370000,18.940000,12.389530,-14.320500,-0.233014,91.610000,310.720000
3693.630000,19.260000,12.515600,-14.628000,-0.569691,91.780000,310.380000
3712.940000,19.310000,12.532660,-14.679000,-0.576223,91.640000,310.600000
3732.100000,19.160000,12.581140,-14.442300,-0.454743,91.080000,311.520000
3751.320000,19.220000,12.651030,-14.466400,-0.147588,89.800000,310.820000
3770.640000,19.320000,12.630980,-14.617600,0.180395,89.130000,310.840000
3789.700000,19.060000,12.400620,-14.465500,0.468982,88.050000,310.370000
3808.800000,19.100000,12.379040,-14.537600,0.414966,89.460000,310.460000
3828.010000,19.210000,12.476840,-14.605900,0.129080,89.770000,310.550000
3847.070000,19.060000,12.366750,-14.500100,0.251140,88.720000,310.370000
3866.400000,19.330000,12.513690,-14.729600,0.177103,90.230000,310.330000
3885.490000,19.090000,12.364320,-14.543500,-0.173251,90.810000,310.410000
3904.710000,19.220000,12.467210,-14.625600,-0.259968,90.740000,310.480000
3923.960000,19.250000,12.452510,-14.678300,-0.050394,89.560000,310.140000
3943.170000,19.210000,12.390270,-14.677500,-0.107279,91.080000,310.200000
3962.460000,19.290000,12.443370,-14.732600,-0.457828,91.640000,310.170000
3981.430000,18.970000,12.248010,-14.480700,-0.332707,90.370000,310.280000
4000.650000,19.220000,12.406730,-14.678800,-0.005032,89.660000,310.130000
4019.770000,19.120000,12.337710,-14.604900,0.208560,89.090000,310.250000
4039.020000,19.250000,12.416550,-14.708600,0.136064,90.100000,310.090000
4058.370000,19.350000,12.401570,-14.853200,-0.028706,90.070000,309.630000
4077.590000,19.220000,12.253760,-14.807000,0.045286,89.660000,309.590000
4096.680000,19.090000,12.237310,-14.651200,0.089959,89.800000,310.150000
